5.0586e+00,5.2847e-08,4.4790e-08,3.2558e-01,-1.0750e-09,-3.7237e-18,-2.8012e-11,2.7506e-08,-8.5806e-10,-1.8355e-09
5.2847e-08,2.8801e+00,-1.6135e-01,5.7965e-01,6.5873e-12,9.4123e-17,5.1194e-13,1.7814e-01,3.4972e-10,-2.8486e-11
4.4790e-08,-1.6135e-01,4.1006e+00,6.1744e-01,-2.3874e-10,-3.7885e-17,-6.4569e-12,6.0416e-09,-4.2491e-10,-4.2351e-10
3.2558e-01,5.7965e-01,6.1744e-01,9.1516e-01,2.1844e-11,1.9935e-17,2.3945e-12,1.3991e-01,1.8293e-09,-1.7179e-02
-1.0750e-09,6.5873e-12,-2.3874e-10,2.1844e-11,3.2445e+00,2.9262e-15,6.2423e-13,1.2638e-01,4.6182e-10,7.2657e-13
-3.7237e-18,9.4123e-17,-3.7885e-17,1.9935e-17,2.9262e-15,4.8970e+00,6.8053e-16,2.3373e-16,9.6028e-16,7.6316e-16
-2.8012e-11,5.1194e-13,-6.4569e-12,2.3945e-12,6.2423e-13,6.8053e-16,3.5226e+00,3.5610e-03,1.2296e-11,1.2112e-13
2.7506e-08,1.7814e-01,6.0416e-09,1.3991e-01,1.2638e-01,2.3373e-16,3.5610e-03,9.9416e-01,1.1365e-01,2.1498e-02
-8.5806e-10,3.4972e-10,-4.2491e-10,1.8293e-09,4.6182e-10,9.6028e-16,1.2296e-11,1.1365e-01,4.2306e+00,1.0338e-10
-1.8355e-09,-2.8486e-11,-4.2351e-10,-1.7179e-02,7.2657e-13,7.6316e-16,1.2112e-13,2.1498e-02,1.0338e-10,2.7597e+00
